team_id,GP,TO,TOsPerGame,avgDeltaWin,team_nm
T9,2,1,0.5,60.0,Jesse Irvine & Anna Bright
T17,2,1,0.5,50.0,Ben Johns & Tyler Loong
T11,1,1,1.0,49.2,Chrissy Penfold & Eli Powell
T18,2,2,1.0,38.6,Collin Johns & AJ Koller
T16,1,1,1.0,36.7,Anna Bright & Jorja Johnson
T35,1,1,1.0,30.0,Jay Devilliers & Patrick Smith
T40,4,2,0.5,27.6,Ryan Kane & Brandon Ward
T13,4,2,0.5,26.1,Collin Johns & Ben Johns
T15,1,2,2.0,25.7,Vivienne David & Lauren Stratman
T41,1,1,1.0,23.5,David McNally & Daniel McNally
T20,1,1,1.0,21.8,Irina Tereschenko & Catherine Parenteau
T8,2,3,1.5,15.4,Allyce Jones & Meghan Sheehan-Dizon
T32,4,2,0.5,14.7,Jon Smet & Alex Spancake
T3,4,5,1.25,10.7,Lea Jansen & Catherine Parenteau
T2,6,8,1.33,10.1,Anna Leigh Waters & Leigh Waters
T34,1,2,2.0,6.6,Collin Johns & Dekel Bar
T5,10,4,0.4,5.2,Matt Wright & Riley Newman
T23,3,1,0.33,4.1,Ross Whittaker & Grant Johnston
T1,3,3,1.0,3.8,Jesse Irvine & Catherine Parenteau
T28,1,1,1.0,2.2,Chandra Soucek & Katherine Gillis
T42,3,2,0.67,1.5,Bill Kacergis & Arpit Dhir
T4,5,6,1.2,-2.3,Tyler Loong & Tyson McGuffin
T37,2,1,0.5,-3.9,Ross Weinberg & Guarav Sethi
T12,3,2,0.67,-8.6,Monica Linn & Bill Kacergis
T22,3,1,0.33,-10.0,Jimbo Peterson & David McNally
T38,3,4,1.33,-11.2,Mike Strain & Payton Noyes
T25,2,4,2.0,-11.6,Paul Olin & Dave Fleming
T45,1,1,1.0,-12.5,Maya Ben-David & Maddy Saunders
T14,1,1,1.0,-14.7,Callan Dawson & Spencer Smith
T6,2,2,1.0,-28.6,Wyatt Stone & Hayden Patriquin
T21,1,1,1.0,-50.9,Jesse Irvine & Lucy Kovalova
T7,1,0,0.0,,Thomas Wilson & AJ Koller
T10,1,0,0.0,,Greg Dow & Anderson Scarpa
T19,1,0,0.0,,Lauren Stratman & Irina Tereschenko
T24,1,0,0.0,,David McNally & Harsh Pareek
T26,2,0,0.0,,Chris Mills Miller & John Sperling
T27,1,0,0.0,,Jimbo Peterson & Joel Phillips
T29,1,0,0.0,,Sara Maher & Emer Daly
T30,2,0,0.0,,Monica Paolicelli & Alix Truong
T31,2,0,0.0,,Vivian David & Lauren Stratman
T33,1,0,0.0,,Mark Cunningham & Carter Wittendorf
T36,2,0,0.0,,David McNally & Max Sinthorntham
T39,3,0,0.0,,Gizmo Hall & David McNally
T43,3,0,0.0,,Chuck Taylor & AJ Koller
T44,1,0,0.0,,Lauralei Singsank & Arti Kashipathi
