"shot_type","shot_type_desc","maint_dtm","maint_app","create_dtm","create_app"
SP,Speed Up,2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
tsDrp,"3rd Shot Drop",2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
tsDrv,"3rd Shot Drive",2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
R,Return,2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
SE,Serve,2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
L,Lob,2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
A,ATP,2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
E,Ernie,2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
D,Dink,2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
O,Other,2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
HB,Hand Battle,2022-07-31 21:46:20.506 -0400,postgres,2022-07-31 21:46:20.506 -0400,postgres
tzApp,Transition Zone - Approach,2022-07-31 21:46:49.980 -0400,postgres,2022-07-31 21:46:49.980 -0400,postgres
tzRep,Transition Zone - Repel,2022-07-31 21:46:49.980 -0400,postgres,2022-07-31 21:46:49.980 -0400,postgres
tsL,"3rd Shot Lob",2022-04-09 12:14:14.491 -0400,postgres,2022-04-09 12:14:14.491 -0400,postgres
Res,Reset,2022-08-21 22:36:53.063 -0400,postgres,2022-08-21 22:36:53.063 -0400,postgres
U,Unknown,2022-09-11 12:51:06.185 -0400,postgres,2022-09-11 12:51:06.185 -0400,postgres
