game_id,skill_lvl,to_nbr,to_team,rally_nbr,prewin,postwin,deltawin
28,Pro,2,T25,49,63.6,0.0,-63.6
23,Pro,2,T21,68,50.9,0.0,-50.9
30,Pro,1,T25,20,47.4,0.0,-47.4
12,Pro,1,T6,40,46.2,0.0,-46.2
38,5.0,2,T38,45,42.9,0.0,-42.9
58,Pro,2,T46,40,33.3,0.0,-33.3
1,Pro,4,T1,61,30.0,0.0,-30.0
5,Pro,1,T3,27,46.2,20.0,-26.2
16,Pro,1,T4,39,50.0,25.0,-25.0
35,Pro,3,T34,65,57.1,33.3,-23.8
57,Pro,1,T46,18,41.2,22.2,-19.0
9,Pro,1,T4,36,51.4,33.3,-18.1
4,Pro,3,T2,56,42.9,25.0,-17.9
18,Pro,1,T14,21,50.0,35.3,-14.7
58,Pro,1,T46,33,46.9,33.3,-13.6
55,4.0,1,T45,39,50.0,37.5,-12.5
38,5.0,1,T38,30,55.2,42.9,-12.3
56,Pro,1,T47,39,44.7,33.3,-11.4
29,5.0,1,T12,42,48.8,37.5,-11.3
11,Pro,1,T6,37,44.4,33.3,-11.1
8,Pro,1,T4,36,51.4,41.2,-10.2
24,Pro,1,T22,41,47.5,37.5,-10.0
40,5.0,1,T32,25,50.0,40.0,-10.0
40,5.0,2,T38,36,60.0,50.0,-10.0
7,Pro,1,T5,34,48.5,40.0,-8.5
10,Pro,1,T4,26,36.0,28.6,-7.4
27,5.0,1,T12,54,60.4,54.5,-5.9
51,Pro,1,T5,22,42.9,37.5,-5.4
3,Pro,1,T2,32,54.8,50.0,-4.8
49,Pro,1,T42,13,41.7,37.5,-4.2
37,4.5,1,T37,30,41.4,37.5,-3.9
1,Pro,2,T2,37,35.7,33.3,-2.4
22,Pro,2,T3,32,100.0,100.0,0.0
31,4.5,1,T28,45,52.3,54.5,2.2
15,Pro,1,T8,17,43.8,47.1,3.3
54,Pro,1,T23,23,40.9,45.0,4.1
9,Pro,2,T4,49,33.3,40.0,6.7
50,Pro,1,T42,24,39.1,46.4,7.3
42,5.0,1,T40,33,43.8,52.2,8.4
6,Pro,2,T3,36,33.3,42.9,9.6
13,Pro,1,T5,26,48.0,57.7,9.7
15,Pro,2,T8,35,47.1,60.0,12.9
6,Pro,1,T2,26,52.0,66.7,14.7
2,Pro,2,T1,40,51.6,66.7,15.1
2,Pro,3,T2,44,33.3,50.0,16.7
4,Pro,1,T2,22,42.9,61.1,18.2
4,Pro,2,T3,41,38.9,57.1,18.2
20,Pro,1,T18,31,36.7,55.6,18.9
28,Pro,1,T25,37,44.4,63.6,19.2
53,Pro,1,T13,22,38.1,57.4,19.3
2,Pro,1,T2,8,28.6,48.4,19.8
39,5.0,2,T38,50,46.3,66.7,20.4
19,Pro,3,T15,42,33.3,53.8,20.5
23,Pro,1,T20,12,27.3,49.1,21.8
47,5.0,1,T41,38,43.2,66.7,23.5
52,Pro,1,T5,27,46.2,71.4,25.2
1,Pro,1,T1,22,38.1,64.3,26.2
35,Pro,1,T35,51,50.0,80.0,30.0
14,Pro,1,T8,11,20.0,50.0,30.0
19,Pro,1,T15,24,39.1,70.0,30.9
52,Pro,2,T13,35,28.6,61.5,32.9
19,Pro,2,T16,35,30.0,66.7,36.7
1,Pro,3,T2,50,33.3,70.0,36.7
35,Pro,2,T34,57,20.0,57.1,37.1
39,5.0,1,T32,8,14.3,53.7,39.4
7,Pro,2,T4,40,60.0,100.0,40.0
30,Pro,2,T25,24,0.0,45.5,45.5
47,5.0,2,T40,45,33.3,80.0,46.7
17,5.0,1,T11,64,50.8,100.0,49.2
21,Pro,1,T17,41,50.0,100.0,50.0
22,Pro,1,T3,26,48.0,100.0,52.0
21,Pro,2,T18,45,0.0,58.3,58.3
15,Pro,3,T9,46,40.0,100.0,60.0
